CustomerID,Recency,Frequency,Monetary,CountryGroup,prediction
15574,177,4,675.6399965882301,United Kingdom,4
15555,12,16,4794.859967589378,United Kingdom,4
13610,12,7,1082.3299942016602,United Kingdom,4
17686,7,7,5739.459940910339,United Kingdom,4
13282,18,3,1132.1400079727173,United Kingdom,4
13772,33,3,1122.6299988031387,United Kingdom,4
14157,19,2,424.889998793602,United Kingdom,4
16250,261,2,389.4400005340576,United Kingdom,4
15271,7,15,2493.3399857878685,United Kingdom,4
13865,58,4,501.5600018501282,United Kingdom,4
16504,25,1,465.87999761104584,United Kingdom,4
16320,172,2,1038.459997177124,Other,0
18130,15,3,1059.3899984359741,United Kingdom,4
17714,320,1,153.00000095367432,United Kingdom,4
14204,2,1,150.60999858379364,United Kingdom,4
14887,79,1,1862.0,United Kingdom,4
12847,22,1,843.6399933993816,United Kingdom,4
12394,63,2,1272.4799976348877,Belgium,1
12394,63,2,1272.4799976348877,Other,0
13192,95,2,911.9400072097778,United Kingdom,4
15269,23,1,408.8000030517578,United Kingdom,4
15634,17,1,243.55000019073486,United Kingdom,4
17506,75,1,302.20000076293945,United Kingdom,4
17757,1,30,5593.389988839626,United Kingdom,4
12637,67,8,6002.899971276522,France,0
17835,2,3,342.23999470472336,United Kingdom,4
13985,4,15,7060.129985332489,United Kingdom,4
16549,10,10,4034.8999775350094,United Kingdom,4
17551,359,1,290.3399980068207,United Kingdom,4
12888,214,2,354.12000274658203,United Kingdom,4
15052,319,1,207.73000168800354,United Kingdom,4
16639,31,3,1257.510004043579,United Kingdom,4
14218,42,1,169.47999906539917,United Kingdom,4
15947,82,1,1708.2399969100952,United Kingdom,4
14974,37,1,89.93999862670898,United Kingdom,4
13187,337,1,236.01999855041504,United Kingdom,4
15539,7,1,538.4600002765656,United Kingdom,4
15448,312,1,494.64000129699707,United Kingdom,4
13107,44,4,1531.6199922561646,United Kingdom,4
18276,43,1,335.8600001335144,United Kingdom,4
14552,151,1,164.22000128030777,United Kingdom,4
13395,185,1,307.71999633312225,United Kingdom,4
14525,19,9,4215.899985224009,United Kingdom,4
18283,3,16,2045.529975861311,United Kingdom,4
16027,91,6,934.6199769973755,United Kingdom,4
16303,25,3,5360.630009651184,United Kingdom,4
12811,260,3,514.850001335144,Portugal,1
15041,170,1,179.92999982833862,United Kingdom,4
16340,107,1,534.30999776721,United Kingdom,4
15478,40,2,1399.919993519783,United Kingdom,4
16413,56,1,262.19999980926514,United Kingdom,4
13460,29,2,183.4399995803833,United Kingdom,4
17256,107,2,239.9999965429306,United Kingdom,4
12750,128,1,275.8799991607666,Other,0
17901,29,1,110.38000017404556,United Kingdom,4
17438,253,1,388.4500026702881,United Kingdom,4
13170,26,1,108.80999952554703,United Kingdom,4
13866,74,1,145.67000198364258,United Kingdom,4
17839,42,1,318.149998575449,United Kingdom,4
16619,263,1,226.20999813079834,United Kingdom,4
15435,22,1,149.28999841213226,United Kingdom,4
14000,211,1,635.6599941253662,United Kingdom,4
13122,94,2,922.3900003433228,United Kingdom,4
17545,43,3,642.3199963867664,United Kingdom,4
17584,7,2,1242.2999949455261,United Kingdom,4
14963,9,5,1472.339995726943,United Kingdom,4
13174,16,3,2742.8200063705444,United Kingdom,4
16253,66,2,3683.859983444214,United Kingdom,4
12957,9,8,4017.539994239807,United Kingdom,4
17886,31,3,869.2799985706806,United Kingdom,4
13805,52,2,924.5999946594238,United Kingdom,4
14649,4,4,1402.589994624257,United Kingdom,4
12710,96,3,1149.0199995040894,Germany,0
14697,218,2,188.6099995970726,United Kingdom,4
18211,25,5,600.0699985027313,United Kingdom,4
14439,319,1,2661.2399892807007,Other,0
14340,218,1,134.69999980926514,United Kingdom,4
17660,141,1,178.7499983459711,United Kingdom,4
17715,200,1,326.3999938964844,United Kingdom,4
